iter	Passed	Remaining
155	391	862
156	393	859
157	395	856
158	397	852
159	399	849
160	402	847
161	404	844
162	406	841
163	408	837
164	411	834
165	413	831
166	415	828
167	417	824
168	419	821
169	421	818
170	423	815
171	426	812
172	428	809
173	430	806
174	432	803
175	434	800
176	436	797
177	439	794
178	441	790
179	443	787
180	445	784
181	447	781
182	449	779
183	451	776
184	454	773
185	456	770
186	458	767
187	460	764
188	462	761
189	464	758
190	466	755
191	469	752
192	471	749
193	473	746
194	475	743
195	477	740
196	479	738
197	482	735
198	484	732
199	486	729
200	488	726
201	490	723
202	493	721
203	495	718
204	497	715
205	499	712
206	501	710
207	503	707
208	506	704
209	508	701
210	510	699
211	512	696
212	514	693
213	517	690
214	519	688
215	521	685
216	523	682
217	525	680
218	528	677
219	530	675
220	532	672
221	534	669
222	536	666
223	538	663
224	540	661
225	543	658
226	545	655
227	547	653
228	549	650
229	551	647
230	553	645
231	556	642
232	558	639
233	560	637
234	562	634
235	564	631
236	566	629
237	569	626
238	571	623
239	573	621
240	575	618
241	577	616
242	579	613
243	582	610
244	584	607
245	586	605
246	588	602
247	590	600
248	592	597
249	595	595
250	597	592
251	599	589
252	601	587
253	603	584
254	605	582
255	607	579
256	610	577
257	612	574
258	614	571
259	616	569
260	618	566
261	621	564
262	623	561
263	625	559
264	627	556
265	629	553
266	631	551
267	634	548
268	636	546
269	638	543
270	640	541
271	642	538
272	644	536
273	646	533
274	649	531
275	651	528
276	653	526
277	655	523
278	657	520
279	659	518
280	662	515
281	664	513
282	666	510
283	668	508
284	670	505
285	672	503
286	675	500
287	677	498
288	679	496
289	681	493
290	684	491
291	686	488
292	688	486
293	690	483
294	692	481
295	694	478
296	696	476
297	698	473
298	701	471
299	703	468
300	705	466
301	707	463
302	709	461
303	712	459
304	714	456
305	716	454
306	718	451
307	720	449
308	723	447
309	725	444
310	727	442
311	729	439
312	731	437
313	733	434
314	735	432
315	738	429
316	740	427
317	742	425
318	744	422
319	746	420
320	749	417
321	751	415
322	753	412
323	755	410
324	757	407
325	759	405
326	761	403
327	764	400
328	766	398
329	768	395
330	770	393
331	772	391
332	775	388
333	777	386
334	779	383
335	781	381
336	783	379
337	785	376
338	787	374
339	790	371
340	792	369
341	794	366
342	796	364
343	798	362
344	801	359
345	803	357
346	805	355
347	807	352
348	809	350
349	811	347
350	813	345
351	815	343
352	818	340
353	820	338
354	822	335
355	824	333
356	826	331
357	829	328
358	831	326
359	833	324
360	835	321
361	837	319
362	840	317
363	842	314
364	844	312
365	846	310
366	848	307
367	851	305
368	853	302
369	855	300
370	857	298
371	859	295
372	861	293
373	863	291
374	866	288
375	868	286
376	870	283
377	872	281
378	874	279
379	877	276
380	879	274
381	881	272
382	883	269
383	885	267
384	887	265
385	889	262
386	891	260
387	893	257
388	895	255
389	897	253
390	900	250
391	902	248
392	904	246
393	906	243
394	908	241
395	911	239
396	913	236
397	915	234
398	917	232
399	919	229
400	922	227
401	924	225
402	926	222
403	928	220
404	930	218
405	932	215
406	934	213
407	936	211
408	939	208
409	941	206
410	943	204
411	945	201
412	947	199
413	949	197
414	951	194
415	953	192
416	955	190
417	958	187
418	960	185
419	962	183
420	964	180
421	966	178
422	969	176
423	971	174
424	973	171
425	975	169
426	977	167
427	979	164
428	982	162
429	984	160
430	986	157
431	988	155
432	990	153
433	993	151
434	995	148
435	997	146
436	999	144
437	1001	141
438	1003	139
439	1006	137
440	1008	134
441	1010	132
442	1012	130
443	1014	127
444	1016	125
445	1018	123
446	1021	121
447	1023	118
448	1025	116
449	1027	114
450	1029	111
451	1031	109
452	1034	107
453	1036	104
454	1038	102
455	1040	100
456	1042	98
457	1044	95
458	1046	93
459	1048	91
460	1050	88
461	1052	86
462	1055	84
463	1057	82
464	1059	79
465	1061	77
466	1063	75
467	1065	72
468	1067	70
469	1070	68
470	1072	66
471	1074	63
472	1076	61
473	1078	59
474	1081	56
475	1083	54
476	1085	52
477	1087	50
478	1089	47
479	1091	45
480	1093	43
481	1096	40
482	1098	38
483	1100	36
484	1102	34
485	1104	31
486	1107	29
487	1109	27
488	1111	25
489	1113	22
490	1115	20
491	1118	18
492	1120	15
493	1122	13
494	1124	11
495	1126	9
496	1129	6
497	1131	4
498	1133	2
499	1135	0
